parent_id,parenting_style,child_mental_health,communication_skills,emotional_wellbeing,social_skills,academic_performance,parent_involvement
51,Permissive,36,60,85,60,72,87
52,Authoritative,32,84,73,66,87,55
53,Neglectful,66,60,81,79,71,84
54,Authoritarian,32,82,58,84,79,64
55,Indulgent,47,51,73,64,60,67
56,Neglectful,80,50,64,74,75,80
57,Authoritarian,89,82,71,87,60,50
58,Overprotective,71,62,83,56,73,54
59,Overprotective,38,76,59,51,63,65
60,Positive Reinforcement,86,50,51,52,60,61
61,Neglectful,53,78,88,83,59,50
62,Overprotective,36,89,56,56,52,50
63,Authoritarian,62,71,50,69,88,80
64,Positive Reinforcement,54,88,58,50,77,87
65,Authoritarian,71,69,75,79,80,63
66,Positive Reinforcement,63,89,64,50,58,76
67,Neglectful,67,51,71,78,51,80
68,Indulgent,87,66,72,54,83,82
69,Helicopter,50,54,52,52,51,70
70,Laissez-faire,67,75,60,79,59,67
71,Indulgent,85,62,71,50,65,75
72,Uninvolved,69,83,89,60,55,59
73,Authoritarian,87,79,63,66,63,80
74,Uninvolved,47,51,65,88,77,81
75,Indulgent,68,61,83,70,62,88
76,Positive Reinforcement,79,71,54,77,86,71
77,Laissez-faire,62,87,57,53,72,55
78,Laissez-faire,57,62,51,89,87,75
79,Authoritative,85,74,60,60,50,74
80,Laissez-faire,54,89,72,51,53,71
81,Helicopter,43,88,50,87,82,73
82,Laissez-faire,84,86,59,58,71,89
83,Indulgent,49,70,55,88,73,60
84,Authoritative,68,67,52,64,73,78
85,Indulgent,49,68,68,86,83,58
86,Indulgent,36,62,78,61,74,89
87,Permissive,33,74,64,86,50,57
88,Authoritative,60,65,72,55,52,82
89,Indulgent,59,78,57,61,56,88
90,Permissive,86,65,74,82,67,67
91,Permissive,66,71,73,79,83,50
92,Authoritative,84,61,87,69,51,55
93,Uninvolved,88,75,61,59,70,72
94,Positive Reinforcement,85,77,50,61,56,83
95,Helicopter,50,77,53,57,77,89
96,Positive Reinforcement,30,72,88,72,81,89
97,Laissez-faire,81,88,79,53,59,62
98,Helicopter,32,79,83,78,79,71
99,Laissez-faire,42,85,82,82,69,75
100,Indulgent,36,87,79,53,81,54
101,Authoritarian,35,63,89,64,50,86
102,Authoritative,35,80,62,61,56,89
103,Helicopter,63,61,79,69,79,57
104,Helicopter,61,60,68,83,81,82
105,Indulgent,45,53,69,73,86,60
106,Uninvolved,67,74,87,65,58,67
107,Permissive,37,74,53,84,79,80
108,Indulgent,50,69,72,80,54,73
109,Overprotective,86,57,74,56,65,85
110,Permissive,40,73,60,63,86,80
111,Authoritative,79,67,80,81,81,86
112,Permissive,52,87,61,76,72,56
113,Uninvolved,35,58,83,72,88,58
114,Permissive,75,73,79,74,61,64
115,Authoritative,44,54,65,81,76,72
116,Uninvolved,40,62,81,84,82,65
117,Positive Reinforcement,56,70,85,87,84,85
118,Helicopter,44,58,67,58,88,79
119,Helicopter,74,51,57,70,87,67
120,Laissez-faire,67,50,80,53,52,85
121,Positive Reinforcement,33,57,85,67,54,86
122,Positive Reinforcement,43,73,62,65,85,57
123,Permissive,74,83,67,61,86,75
124,Helicopter,39,59,84,61,87,71
125,Authoritative,86,50,76,74,89,61
126,Neglectful,83,84,55,80,58,64
127,Neglectful,58,75,59,56,73,76
128,Uninvolved,41,53,86,72,76,65
129,Helicopter,85,80,56,82,72,67
130,Helicopter,69,54,65,88,81,88
131,Neglectful,49,72,51,58,56,60
132,Helicopter,66,83,74,85,79,83
133,Permissive,31,64,75,66,83,87
134,Overprotective,49,52,75,61,56,65
135,Authoritarian,41,68,67,86,50,59
136,Positive Reinforcement,67,88,87,83,63,70
137,Laissez-faire,59,88,69,57,71,60
138,Uninvolved,76,76,77,67,85,68
139,Overprotective,47,71,52,69,84,84
140,Neglectful,79,64,85,60,56,60
141,Positive Reinforcement,39,89,89,74,58,58
142,Helicopter,36,64,50,68,75,67
143,Laissez-faire,71,81,59,66,67,50
144,Helicopter,34,80,80,72,88,88
145,Authoritative,77,88,69,80,71,77
146,Authoritative,58,66,57,52,84,70
147,Laissez-faire,80,62,56,61,86,50
148,Laissez-faire,64,87,84,65,52,78
149,Neglectful,68,86,89,60,79,64
150,Laissez-faire,80,65,69,80,59,87
151,Permissive,41,77,52,76,54,78
152,Helicopter,39,83,60,66,77,62
153,Overprotective,66,81,61,77,70,89
154,Indulgent,31,73,61,51,68,83
155,Laissez-faire,32,86,57,87,87,67
156,Uninvolved,43,54,71,67,69,69
157,Authoritative,76,72,69,86,72,59
158,Permissive,49,70,64,62,59,51
159,Positive Reinforcement,74,50,80,65,76,75
160,Indulgent,78,62,79,52,75,63
161,Overprotective,81,57,89,63,79,72
162,Indulgent,33,50,80,70,84,83
163,Laissez-faire,80,64,69,73,86,55
164,Neglectful,55,59,51,53,56,76
165,Authoritative,76,50,55,83,77,78
166,Authoritative,44,63,63,83,78,89
167,Positive Reinforcement,38,86,75,56,83,54
168,Neglectful,32,70,82,54,76,56
169,Helicopter,31,50,72,85,89,65
170,Authoritarian,68,76,74,69,67,74
171,Permissive,70,80,87,89,60,55
172,Authoritative,83,56,86,53,74,61
173,Uninvolved,59,67,77,72,78,53
174,Authoritative,66,85,84,82,56,53
175,Indulgent,46,73,56,53,53,68
176,Authoritative,32,87,51,67,73,56
177,Authoritative,38,84,66,53,80,57
178,Authoritarian,37,53,76,84,51,54
179,Authoritarian,38,51,51,80,63,78
180,Overprotective,85,84,61,70,73,56
181,Helicopter,46,67,65,77,65,80
182,Uninvolved,53,51,81,56,67,72
183,Authoritative,37,76,67,63,86,77
184,Authoritative,82,89,65,50,84,86
185,Permissive,43,56,54,53,67,86
186,Authoritarian,83,80,73,77,59,80
187,Uninvolved,45,83,60,82,81,55
188,Positive Reinforcement,47,56,73,81,79,72
189,Overprotective,78,78,63,85,51,54
190,Helicopter,53,57,85,74,50,79
191,Neglectful,68,82,50,71,51,79
192,Helicopter,81,52,75,54,53,58
193,Indulgent,76,89,75,63,70,69
194,Authoritative,56,81,53,74,78,60
195,Overprotective,57,68,75,54,65,71
196,Indulgent,36,53,53,54,53,56
197,Uninvolved,63,59,81,53,66,57
198,Neglectful,56,67,65,61,54,79
199,Authoritarian,63,68,86,87,54,64
200,Overprotective,68,61,65,81,80,65
201,Overprotective,48,60,89,86,53,61
202,Authoritative,35,81,69,86,74,59
203,Laissez-faire,59,55,66,65,52,71
204,Overprotective,57,87,69,55,75,78
205,Permissive,41,77,81,87,89,51
206,Neglectful,44,75,60,71,75,82
207,Neglectful,74,57,78,70,50,54
208,Permissive,68,59,76,80,61,52
209,Positive Reinforcement,68,71,70,70,78,85
210,Permissive,44,83,88,55,87,72
211,Permissive,87,71,78,55,74,84
212,Neglectful,65,71,86,72,50,63
213,Helicopter,32,55,81,65,51,54
214,Neglectful,30,80,61,72,54,81
215,Laissez-faire,36,85,73,61,57,73
216,Authoritative,38,60,75,60,54,67
217,Indulgent,30,67,70,52,65,63
218,Helicopter,34,83,80,83,81,55
219,Authoritarian,76,52,56,50,67,54
220,Indulgent,65,87,82,52,72,55
221,Authoritative,39,85,66,73,88,79
222,Laissez-faire,31,66,89,87,59,70
223,Laissez-faire,52,79,67,83,56,83
224,Authoritarian,68,79,50,60,78,63
225,Helicopter,58,80,69,57,87,89
226,Positive Reinforcement,85,81,70,58,75,68
227,Permissive,48,68,87,77,78,64
228,Helicopter,67,58,81,61,65,54
229,Positive Reinforcement,76,65,71,51,50,60
230,Laissez-faire,49,87,74,58,81,74
231,Neglectful,41,68,81,72,85,53
232,Authoritative,40,79,80,85,63,72
233,Authoritarian,64,85,84,61,86,79
234,Authoritative,81,60,62,85,79,56
235,Uninvolved,89,64,65,64,85,50
236,Uninvolved,78,73,86,89,80,64
237,Helicopter,36,70,68,89,61,87
238,Laissez-faire,52,59,64,79,53,58
239,Laissez-faire,84,74,82,68,62,70
240,Permissive,79,81,50,84,81,66
241,Permissive,46,82,62,59,73,52
242,Permissive,77,73,73,51,70,56
243,Neglectful,86,70,72,75,87,69
244,Indulgent,31,75,87,74,71,56
245,Overprotective,34,66,78,89,61,61
246,Indulgent,50,68,65,84,77,67
247,Authoritative,42,52,81,89,52,88
248,Indulgent,40,62,86,69,70,88
249,Neglectful,53,51,65,79,85,54
250,Authoritative,62,81,88,57,83,81
251,Indulgent,56,82,73,54,82,84
252,Neglectful,84,81,89,51,64,58
253,Overprotective,64,74,70,59,52,55
254,Indulgent,47,52,82,89,63,69
255,Neglectful,50,56,76,50,52,77
256,Permissive,33,74,78,57,86,60
257,Laissez-faire,70,72,82,76,54,76
258,Permissive,61,77,85,52,64,69
259,Laissez-faire,72,61,87,54,55,62
260,Authoritarian,78,57,81,69,82,86
261,Authoritarian,40,84,77,73,69,62
262,Authoritarian,32,74,87,65,65,54
263,Overprotective,80,79,75,55,54,68
264,Permissive,81,81,55,89,62,83
265,Laissez-faire,84,85,68,74,62,69
266,Neglectful,50,81,64,79,88,86
267,Authoritative,72,74,66,77,67,69
268,Neglectful,87,75,83,83,57,55
269,Authoritative,43,57,50,88,67,50
270,Uninvolved,35,54,68,73,75,68
271,Neglectful,80,51,52,71,70,54
272,Indulgent,82,68,66,50,63,68
273,Indulgent,58,52,88,64,89,64
274,Helicopter,60,61,63,84,52,66
275,Permissive,76,88,60,89,55,57
276,Authoritative,57,81,65,63,78,52
277,Authoritative,72,55,79,62,53,54
278,Permissive,79,57,88,88,52,60
279,Overprotective,65,54,76,56,67,65
280,Helicopter,57,62,67,65,51,71
281,Overprotective,48,80,72,60,62,69
282,Overprotective,32,62,76,62,59,66
283,Overprotective,41,50,60,85,66,51
284,Permissive,65,53,62,80,87,71
285,Overprotective,53,69,72,64,73,84
286,Indulgent,41,78,75,88,55,57
287,Authoritarian,53,81,83,79,85,61
288,Uninvolved,30,82,84,75,73,63
289,Authoritative,57,63,87,83,61,68
290,Authoritative,45,68,69,81,61,78
291,Uninvolved,50,52,73,56,82,54
292,Permissive,59,60,81,64,71,83
293,Neglectful,63,58,75,57,57,57
294,Permissive,55,77,51,79,76,70
295,Authoritative,83,51,62,86,59,70
296,Authoritative,64,62,52,65,57,62
297,Uninvolved,60,84,88,57,60,52
298,Overprotective,89,80,85,75,77,86
299,Permissive,45,63,61,59,71,72
300,Laissez-faire,87,64,76,86,70,88
301,Uninvolved,71,54,63,61,53,86
302,Indulgent,58,88,59,53,60,89
303,Authoritative,58,83,87,76,63,72
304,Uninvolved,38,87,61,83,74,85
305,Permissive,43,51,89,64,61,89
306,Authoritative,86,82,60,63,71,57
307,Neglectful,37,76,51,84,55,66
308,Uninvolved,31,52,80,65,69,62
309,Helicopter,40,51,59,64,66,89
310,Authoritative,31,77,55,52,82,69
311,Permissive,88,79,71,74,64,85
312,Authoritarian,76,72,68,54,61,71
313,Laissez-faire,47,82,59,55,50,73
314,Positive Reinforcement,34,63,76,75,85,58
315,Overprotective,89,63,77,58,84,70
316,Positive Reinforcement,87,62,59,74,73,70
317,Permissive,86,53,66,89,87,56
318,Indulgent,36,68,64,61,51,60
319,Indulgent,52,73,61,72,50,78
320,Authoritarian,48,85,69,88,58,56
321,Overprotective,48,55,65,81,64,75
322,Helicopter,87,61,69,57,86,72
323,Authoritarian,77,58,76,80,71,73
324,Positive Reinforcement,48,62,71,52,75,50
325,Authoritarian,78,73,76,79,54,87
326,Positive Reinforcement,74,64,62,84,59,80
327,Authoritative,89,79,54,58,60,71
328,Indulgent,69,81,66,79,60,88
329,Authoritative,57,81,83,63,71,59
330,Laissez-faire,40,83,71,73,87,73
331,Overprotective,79,84,79,58,54,76
332,Helicopter,40,67,52,71,58,73
333,Positive Reinforcement,84,68,56,85,72,81
334,Helicopter,38,64,64,80,51,79
335,Positive Reinforcement,43,71,56,77,67,66
336,Permissive,63,74,52,83,62,75
337,Authoritarian,58,73,78,86,87,71
338,Laissez-faire,78,55,55,85,52,84
339,Indulgent,50,85,76,84,69,77
340,Positive Reinforcement,77,59,50,50,67,70
341,Helicopter,87,61,83,61,77,50
342,Laissez-faire,34,54,57,53,55,65
343,Neglectful,62,69,74,50,52,74
344,Neglectful,38,86,64,88,83,85
345,Authoritative,32,67,87,82,81,57
346,Indulgent,43,89,60,76,61,61
347,Permissive,47,82,58,75,53,65
348,Helicopter,41,61,76,79,57,87
349,Authoritarian,52,82,62,55,76,64
350,Authoritarian,43,54,61,69,84,70
351,Helicopter,89,58,60,71,86,71
352,Overprotective,45,82,84,88,70,68
353,Permissive,66,79,72,55,71,71
354,Laissez-faire,49,66,70,57,70,85
355,Positive Reinforcement,49,84,77,68,54,85
356,Overprotective,44,65,56,69,51,59
357,Positive Reinforcement,70,89,62,51,86,80
358,Positive Reinforcement,54,68,80,88,82,66
359,Overprotective,46,51,84,76,86,52
360,Authoritative,41,55,66,56,54,69
361,Neglectful,74,60,73,52,71,58
362,Positive Reinforcement,71,58,71,79,78,83
363,Overprotective,68,76,59,75,68,54
364,Overprotective,88,63,65,52,84,73
365,Uninvolved,85,84,86,85,82,71
366,Authoritative,82,69,55,77,65,50
367,Indulgent,36,81,61,55,70,57
368,Uninvolved,37,57,50,51,74,81
369,Uninvolved,53,60,65,76,63,73
370,Helicopter,76,51,83,67,69,88
371,Neglectful,54,54,86,54,55,58
372,Overprotective,50,79,76,51,66,85
373,Neglectful,79,60,54,81,52,81
374,Permissive,83,65,68,51,78,57
375,Helicopter,62,74,60,71,52,68
376,Indulgent,39,74,86,60,58,53
377,Neglectful,51,60,60,84,53,63
378,Authoritarian,48,50,57,54,50,71
379,Positive Reinforcement,58,82,65,85,71,54
380,Permissive,32,50,80,75,87,74
381,Authoritative,68,58,60,82,54,72
382,Indulgent,33,76,50,83,77,87
383,Permissive,66,87,66,51,54,75
384,Positive Reinforcement,60,68,74,83,77,82
385,Helicopter,35,89,75,60,88,69
386,Positive Reinforcement,57,66,83,52,88,66
387,Uninvolved,39,61,51,64,68,56
388,Positive Reinforcement,41,51,65,65,75,57
389,Uninvolved,75,57,80,55,69,67
390,Helicopter,83,82,71,62,62,88
391,Laissez-faire,31,62,71,54,60,84
392,Uninvolved,32,70,81,50,79,62
393,Authoritative,30,68,55,86,57,69
394,Positive Reinforcement,64,83,51,63,70,79
395,Positive Reinforcement,53,79,56,82,63,50
396,Authoritative,76,69,60,88,88,58
397,Authoritarian,77,67,59,80,63,50
398,Overprotective,81,70,65,51,52,71
399,Laissez-faire,63,85,50,68,56,73
400,Indulgent,49,56,84,88,50,60
401,Uninvolved,45,54,87,51,80,60
402,Authoritative,59,58,88,62,65,60
403,Helicopter,76,67,59,75,60,81
404,Uninvolved,68,50,84,80,51,74
405,Overprotective,54,85,62,77,67,68
406,Helicopter,34,63,63,64,59,56
407,Permissive,58,57,61,57,51,69
408,Positive Reinforcement,66,86,52,50,51,51
409,Permissive,57,69,87,87,81,75
410,Uninvolved,82,80,60,77,88,59
411,Overprotective,87,56,83,81,79,79
412,Laissez-faire,70,87,74,79,70,81
413,Uninvolved,52,64,72,82,75,65
414,Authoritative,61,84,57,86,62,70
415,Neglectful,75,66,76,68,81,68
416,Uninvolved,80,76,53,57,65,64
417,Positive Reinforcement,47,70,73,68,82,68
418,Positive Reinforcement,70,89,62,83,52,50
419,Uninvolved,64,75,80,78,64,85
420,Helicopter,72,54,63,52,70,64
421,Neglectful,53,82,69,86,84,59
422,Authoritative,76,54,86,74,73,51
423,Uninvolved,57,77,71,89,72,75
424,Helicopter,65,70,61,58,59,78
425,Positive Reinforcement,50,57,52,57,82,79
426,Positive Reinforcement,85,51,81,56,75,75
427,Overprotective,34,86,54,62,61,58
428,Uninvolved,55,63,81,82,82,62
429,Neglectful,79,83,61,81,84,62
430,Authoritarian,83,86,77,70,80,84
431,Neglectful,52,70,76,70,85,80
432,Positive Reinforcement,73,76,72,81,67,83
433,Positive Reinforcement,62,67,53,65,76,77
434,Permissive,55,54,54,54,65,79
435,Positive Reinforcement,86,83,87,85,63,76
436,Authoritative,51,67,58,72,87,83
437,Indulgent,49,84,58,70,87,76
438,Uninvolved,31,75,78,73,88,73
439,Neglectful,70,78,66,55,73,73
440,Indulgent,83,77,68,53,64,72
441,Helicopter,86,55,51,59,63,84
442,Authoritarian,47,75,81,61,65,50
443,Authoritative,34,67,64,79,86,65
444,Neglectful,83,79,51,50,64,59
445,Indulgent,61,82,63,68,63,87
446,Authoritarian,75,81,81,86,73,85
447,Permissive,40,75,88,71,53,79
448,Authoritative,50,71,75,51,84,86
449,Authoritative,51,83,61,51,85,60
450,Permissive,32,61,75,88,78,83
451,Uninvolved,38,71,85,68,80,57
452,Permissive,31,70,61,88,50,59
453,Authoritative,75,73,82,56,76,72
454,Authoritative,57,74,75,80,71,81
455,Indulgent,63,51,72,67,85,55
456,Positive Reinforcement,82,50,62,50,59,88
457,Authoritarian,88,59,86,50,79,66
458,Permissive,39,83,89,67,52,74
459,Authoritarian,48,54,77,87,82,89
460,Permissive,58,66,83,52,59,56
461,Helicopter,31,50,68,67,55,82
462,Authoritative,77,63,74,71,56,68
463,Positive Reinforcement,35,70,84,57,73,86
464,Indulgent,73,55,70,87,70,76
465,Positive Reinforcement,83,60,55,59,68,53
466,Positive Reinforcement,36,88,65,52,68,63
467,Positive Reinforcement,65,69,73,66,86,82
468,Authoritarian,37,69,65,56,89,57
469,Permissive,48,70,79,86,81,62
470,Laissez-faire,39,73,77,71,59,78
471,Helicopter,62,75,59,60,60,86
472,Neglectful,66,52,66,68,68,70
473,Positive Reinforcement,67,87,69,78,81,59
474,Uninvolved,56,87,85,77,78,88
475,Authoritarian,58,77,73,77,51,78
476,Indulgent,48,59,65,85,58,89
477,Neglectful,47,73,69,73,60,83
478,Laissez-faire,80,89,75,60,63,65
479,Uninvolved,80,56,78,80,69,66
480,Laissez-faire,52,72,71,57,63,84
481,Neglectful,30,72,69,67,76,63
482,Positive Reinforcement,88,73,81,81,54,82
483,Uninvolved,81,80,78,89,61,77
484,Laissez-faire,72,71,72,80,75,56
485,Indulgent,32,76,83,61,62,74
486,Permissive,39,87,61,77,53,65
487,Authoritative,88,54,68,57,81,51
488,Permissive,36,67,66,68,59,60
489,Neglectful,78,57,88,73,81,85
490,Authoritarian,85,84,71,79,55,64
491,Authoritative,55,66,59,81,87,71
492,Helicopter,45,61,67,60,69,60
493,Indulgent,68,88,54,64,87,70
494,Helicopter,74,71,50,51,54,51
495,Uninvolved,61,55,75,59,75,60
496,Authoritative,41,79,74,51,54,51
497,Helicopter,73,51,62,77,50,59
498,Helicopter,37,54,88,60,52,75
499,Laissez-faire,37,51,88,76,68,51
500,Permissive,74,84,61,80,71,51
501,Laissez-faire,40,54,69,57,65,51
502,Authoritative,86,80,55,56,69,63
503,Authoritative,62,66,67,74,85,56
504,Neglectful,54,76,51,66,87,83
505,Laissez-faire,46,80,58,69,87,50
506,Overprotective,60,59,82,69,79,78
507,Permissive,48,61,50,51,52,80
508,Authoritative,74,67,60,51,65,70
509,Neglectful,84,62,71,75,50,66
510,Laissez-faire,44,57,53,77,87,52
511,Permissive,85,84,70,63,80,72
512,Laissez-faire,73,53,78,63,58,58
513,Helicopter,82,56,69,64,67,67
514,Neglectful,78,70,54,65,87,67
515,Permissive,64,64,76,88,87,86
516,Positive Reinforcement,68,83,82,84,63,89
517,Uninvolved,31,71,67,53,72,83
518,Uninvolved,63,50,71,68,74,86
519,Permissive,54,55,86,85,85,54
520,Laissez-faire,67,50,67,83,66,60
521,Neglectful,33,68,70,84,56,77
522,Uninvolved,45,76,55,55,75,82
523,Neglectful,61,59,77,57,81,77
524,Uninvolved,44,63,51,73,52,61
525,Helicopter,71,83,64,84,78,88
526,Laissez-faire,43,81,60,79,82,61
527,Helicopter,70,52,60,77,57,63
528,Uninvolved,44,65,75,65,53,80
529,Positive Reinforcement,36,88,76,70,66,56
530,Positive Reinforcement,36,82,72,82,89,68
531,Helicopter,37,54,57,56,67,85
532,Positive Reinforcement,48,84,69,60,75,63
533,Uninvolved,47,66,83,76,67,51
534,Permissive,46,72,75,83,68,64
535,Helicopter,47,75,50,80,52,84
536,Authoritarian,48,56,73,80,50,64
537,Laissez-faire,82,56,78,76,54,78
538,Positive Reinforcement,69,64,60,56,72,78
539,Positive Reinforcement,42,79,57,77,73,71
540,Authoritative,88,69,79,61,70,82
541,Overprotective,40,52,64,86,76,51
542,Helicopter,80,71,67,52,62,55
543,Indulgent,36,56,74,75,77,66
544,Positive Reinforcement,56,80,60,82,61,81
545,Laissez-faire,88,52,58,77,63,68
546,Authoritarian,66,66,81,71,67,59
547,Positive Reinforcement,34,71,61,68,82,58
548,Authoritarian,37,86,72,62,69,56
549,Uninvolved,39,52,73,74,80,53
550,Uninvolved,66,79,68,53,69,60
551,Overprotective,55,73,59,88,74,75
552,Permissive,44,82,67,59,61,79
553,Indulgent,84,59,64,74,52,84
554,Authoritative,45,56,79,55,60,71
555,Overprotective,58,65,83,84,57,85
556,Neglectful,57,81,88,83,69,71
557,Authoritative,39,51,62,87,76,66
558,Helicopter,85,57,72,68,87,54
559,Laissez-faire,69,64,71,83,85,51
560,Neglectful,80,52,76,65,76,68
561,Neglectful,33,69,54,70,78,65
562,Overprotective,75,83,60,55,66,56
563,Permissive,69,53,89,53,59,86
564,Overprotective,82,72,55,64,89,84
565,Helicopter,43,57,52,88,76,54
566,Positive Reinforcement,73,59,81,77,58,63
567,Positive Reinforcement,62,87,59,61,55,59
568,Permissive,84,54,89,72,60,89
569,Helicopter,80,59,69,50,62,55
570,Permissive,47,75,67,58,82,71
571,Authoritarian,41,65,83,87,87,83
572,Positive Reinforcement,39,72,67,70,66,88
573,Neglectful,50,66,51,55,75,76
574,Indulgent,62,77,62,80,79,54
575,Laissez-faire,43,67,62,60,70,81
576,Helicopter,38,60,75,87,87,86
577,Authoritative,55,83,61,66,66,66
578,Permissive,44,64,61,83,53,55
579,Laissez-faire,50,50,61,78,55,54
580,Authoritative,51,82,72,80,77,61
581,Laissez-faire,84,58,67,79,62,55
582,Indulgent,75,66,73,84,64,53
583,Authoritative,70,64,76,76,74,60
584,Overprotective,72,53,55,68,53,87
585,Uninvolved,34,86,89,77,70,50
586,Overprotective,73,55,52,54,69,80
587,Positive Reinforcement,45,55,80,60,60,55
588,Uninvolved,81,68,81,75,50,76
589,Overprotective,89,72,77,55,76,82
590,Uninvolved,64,79,58,82,77,51
591,Uninvolved,34,50,83,67,61,57
592,Neglectful,55,58,76,55,66,79
593,Permissive,55,71,76,79,67,88
594,Permissive,80,50,74,63,59,64
595,Neglectful,34,85,68,62,63,65
596,Laissez-faire,85,74,63,50,62,56
597,Authoritarian,79,65,89,70,71,62
598,Laissez-faire,65,75,68,67,62,50
599,Authoritative,53,77,61,87,60,54
600,Authoritative,44,54,80,88,65,50
601,Uninvolved,59,71,85,65,59,67
602,Overprotective,34,63,74,54,77,89
603,Overprotective,69,58,55,65,81,74
604,Permissive,77,63,63,58,55,61
605,Helicopter,51,65,56,68,66,51
606,Laissez-faire,62,79,78,65,56,81
607,Positive Reinforcement,34,81,75,82,62,64
608,Indulgent,87,55,83,77,68,76
609,Overprotective,61,66,88,55,60,69
610,Indulgent,79,50,85,78,54,64
611,Uninvolved,77,67,60,68,62,88
612,Indulgent,52,60,61,77,81,63
613,Positive Reinforcement,39,60,66,53,84,77
614,Neglectful,65,77,72,51,88,77
615,Positive Reinforcement,79,61,80,89,73,80
616,Indulgent,46,83,67,75,53,64
617,Positive Reinforcement,82,65,75,63,53,71
618,Authoritarian,56,59,72,63,88,64
619,Uninvolved,87,88,57,61,89,69
620,Laissez-faire,74,57,72,78,55,51
621,Neglectful,37,75,60,75,80,60
622,Overprotective,69,63,80,78,83,66
623,Authoritative,73,58,68,81,73,69
624,Laissez-faire,87,68,71,85,51,89
625,Authoritative,79,83,66,75,72,76
626,Uninvolved,35,87,76,57,88,67
627,Neglectful,36,78,80,63,76,74
628,Permissive,55,78,66,62,67,77
629,Overprotective,46,77,66,81,78,62
630,Authoritarian,66,73,83,85,83,60
631,Permissive,83,77,84,53,80,67
632,Uninvolved,52,61,60,87,87,79
633,Laissez-faire,56,68,69,60,71,64
634,Authoritarian,86,55,53,61,66,68
635,Positive Reinforcement,80,51,52,50,54,77
636,Indulgent,69,88,57,58,74,84
637,Authoritarian,87,80,85,86,50,75
638,Uninvolved,48,86,85,75,59,81
639,Helicopter,56,78,68,72,68,66
640,Indulgent,54,89,69,50,86,72
641,Authoritative,69,61,54,53,86,56
642,Overprotective,54,82,75,63,75,59
643,Authoritative,50,74,71,60,57,80
644,Authoritarian,88,67,75,81,66,58
645,Authoritative,54,79,59,88,70,83
646,Uninvolved,80,67,73,70,55,85
647,Positive Reinforcement,36,56,85,88,84,50
648,Laissez-faire,64,64,81,52,77,51
649,Overprotective,35,79,74,86,80,51
650,Authoritative,69,54,64,80,55,84
651,Authoritative,79,54,88,73,89,55
652,Authoritarian,44,82,83,66,63,85
653,Laissez-faire,53,55,65,82,71,78
654,Permissive,78,89,59,79,52,67
655,Authoritative,33,53,55,60,70,52
656,Uninvolved,36,62,86,51,60,60
657,Helicopter,59,75,70,80,84,61
658,Overprotective,46,69,51,53,85,74
659,Authoritative,83,81,87,56,58,88
660,Uninvolved,87,81,68,60,80,77
661,Uninvolved,67,86,87,76,51,80
662,Overprotective,59,50,72,76,83,57
663,Permissive,74,74,66,77,79,83
664,Uninvolved,68,74,55,89,71,87
665,Helicopter,38,50,83,56,65,74
666,Uninvolved,84,52,64,50,80,78
667,Uninvolved,48,88,76,80,63,60
668,Uninvolved,81,70,71,58,72,67
669,Positive Reinforcement,42,74,84,69,85,66
670,Positive Reinforcement,76,70,68,87,81,82
671,Permissive,78,52,51,64,71,69
